section,record_type,field,value
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
